epoch,accuracy,loss,val_accuracy,val_loss
0,0.46484375,1.653664469718933,0.58984375,1.2685270309448242
1,0.734375,0.9239200949668884,0.75390625,0.8373797535896301
2,0.8408203125,0.6110599637031555,0.82421875,0.6798069477081299
3,0.8857421875,0.46158263087272644,0.859375,0.5654699206352234
4,0.9248046875,0.35936152935028076,0.8828125,0.4927619397640228
5,0.9580078125,0.26040324568748474,0.8984375,0.44461727142333984
6,0.9716796875,0.214359313249588,0.90625,0.4001632034778595
7,0.966796875,0.1946702003479004,0.9140625,0.3931238353252411
8,0.982421875,0.15775053203105927,0.921875,0.339633584022522
9,0.9833984375,0.15128187835216522,0.9140625,0.37358587980270386
10,0.9697265625,0.1945090889930725,0.92578125,0.33786290884017944
11,0.9794921875,0.16560229659080505,0.90234375,0.3979240953922272
12,0.98828125,0.1252480000257492,0.9296875,0.3432493805885315
13,0.9853515625,0.12415231764316559,0.93359375,0.33526721596717834
14,0.9931640625,0.11405940353870392,0.9375,0.3049237132072449
15,0.998046875,0.08494206517934799,0.92578125,0.31324949860572815
16,0.9951171875,0.08166037499904633,0.9296875,0.3002457022666931
17,1.0,0.0731731727719307,0.9296875,0.3051091134548187
18,1.0,0.06744828075170517,0.94140625,0.2730211317539215
19,0.9921875,0.07712984830141068,0.93359375,0.27669641375541687
20,1.0,0.061442967504262924,0.9375,0.2713173031806946
21,1.0,0.056900981813669205,0.94140625,0.2552976906299591
22,1.0,0.0535137839615345,0.9375,0.2720530033111572
23,1.0,0.05037210136651993,0.94921875,0.25546520948410034
24,1.0,0.048470910638570786,0.94140625,0.25855177640914917
25,1.0,0.04601042717695236,0.9375,0.2707994282245636
26,1.0,0.04430687054991722,0.9375,0.2525351941585541
27,1.0,0.04187847673892975,0.9375,0.25569063425064087
28,1.0,0.04102153331041336,0.9453125,0.25888267159461975
29,1.0,0.03929067775607109,0.94140625,0.25296735763549805
